Date,Fixture,Season,Market,Selection,MatchRating,Fair Odds,Available Odds,Value Rating,Result,P/L
2021-08-14,Huddersfield vs Fulham,2021_22,Home,Huddersfield,-7,2.6667,4.35,✅ Excellent,loss,-1.0
2021-08-14,Huddersfield vs Fulham,2021_22,Draw,Draw,-7,3.2,3.42,✅ Fair,loss,-1.0
2021-08-14,Birmingham vs Stoke,2021_22,Home,Birmingham,-4,2.1351,2.75,✅ Good,loss,-1.0
2021-08-14,Barnsley vs Coventry,2021_22,Away,Coventry,-10,1.9375,3.93,✅ Excellent,loss,-1.0
2021-08-14,Peterboro vs Derby,2021_22,Home,Peterboro,3,1.9778,2.21,✅ Fair,win,1.21
2021-08-14,Hull vs QPR,2021_22,Away,QPR,-15,2.0,2.66,✅ Good,win,1.66
2021-08-14,Blackpool vs Cardiff,2021_22,Home,Blackpool,-5,2.7333,3.1,✅ Fair,loss,-1.0
2021-08-17,Blackpool vs Coventry,2021_22,Home,Blackpool,-7,2.6667,2.98,✅ Fair,loss,-1.0
2021-08-17,Huddersfield vs Preston,2021_22,Draw,Draw,-11,2.6667,3.15,✅ Good,loss,-1.0
2021-08-17,Huddersfield vs Preston,2021_22,Away,Preston,-11,2.6667,3.06,✅ Fair,loss,-1.0
2021-08-17,Millwall vs Fulham,2021_22,Home,Millwall,-14,2.0,3.73,✅ Excellent,loss,-1.0
2021-08-17,Millwall vs Fulham,2021_22,Away,Fulham,-14,2.0,2.18,✅ Fair,win,1.18
2021-08-17,Peterboro vs Cardiff,2021_22,Home,Peterboro,-9,2.5,3.13,✅ Good,loss,-1.0
2021-08-17,Peterboro vs Cardiff,2021_22,Away,Cardiff,-9,2.3529,2.4,✅ Fair,loss,-1.0
2021-08-17,Swansea vs Stoke,2021_22,Home,Swansea,-3,3.0714,3.1,✅ Fair,loss,-1.0
2021-08-17,Reading vs Bristol City,2021_22,Home,Reading,5,2.1143,2.29,✅ Fair,loss,-1.0
2021-08-18,Nott'm Forest vs Blackburn,2021_22,Away,Blackburn,-9,2.3529,2.98,✅ Good,win,1.98
2021-08-18,West Brom vs Sheffield United,2021_22,Away,Sheffield United,-6,2.64,3.6,✅ Good,loss,-1.0
2021-08-18,Middlesbrough vs QPR,2021_22,Away,QPR,-5,2.9286,3.02,✅ Fair,win,2.02
2021-08-18,Birmingham vs Bournemouth,2021_22,Home,Birmingham,-5,2.7333,3.08,✅ Fair,loss,-1.0
2021-08-18,Hull vs Derby,2021_22,Draw,Draw,-7,3.2,3.55,✅ Fair,loss,-1.0
2021-08-18,Hull vs Derby,2021_22,Away,Derby,-7,3.2,4.23,✅ Good,win,3.23
2021-08-20,Bristol City vs Swansea,2021_22,Away,Swansea,-2,2.65,3.42,✅ Good,win,2.42
2021-08-21,Derby vs Middlesbrough,2021_22,Home,Derby,-1,2.1034,2.99,✅ Excellent,loss,-1.0
2021-08-21,Stoke vs Nott'm Forest,2021_22,Home,Stoke,7,1.7692,1.89,✅ Fair,win,0.89
2021-08-21,Sheffield United vs Huddersfield,2021_22,Draw,Draw,6,3.0,3.79,✅ Good,loss,-1.0
2021-08-21,Sheffield United vs Huddersfield,2021_22,Away,Huddersfield,6,2.8696,5.54,✅ Excellent,win,4.54
2021-08-21,Preston vs Peterboro,2021_22,Home,Preston,1,2.1961,2.22,✅ Fair,win,1.22
2021-08-21,Cardiff vs Millwall,2021_22,Home,Cardiff,11,1.6,2.28,✅ Excellent,win,1.28
2021-08-21,Luton vs Birmingham,2021_22,Home,Luton,8,2.0526,2.1,✅ Fair,loss,-1.0
2021-08-21,Luton vs Birmingham,2021_22,Draw,Draw,8,3.0,3.34,✅ Fair,loss,-1.0
2021-08-21,Bournemouth vs Blackpool,2021_22,Draw,Draw,2,3.5806,3.73,✅ Fair,win,2.73
2021-08-21,Bournemouth vs Blackpool,2021_22,Away,Blackpool,2,3.7,5.33,✅ Good,loss,-1.0
2021-08-21,Blackburn vs West Brom,2021_22,Home,Blackburn,4,2.375,3.77,✅ Excellent,loss,-1.0
2021-08-21,Blackburn vs West Brom,2021_22,Draw,Draw,4,3.1667,3.4,✅ Fair,loss,-1.0
2021-08-21,QPR vs Barnsley,2021_22,Home,QPR,7,1.7692,2.1,✅ Good,loss,-1.0
2021-08-21,Coventry vs Reading,2021_22,Home,Coventry,9,1.75,2.1,✅ Good,win,1.1
2021-08-28,Millwall vs Blackpool,2021_22,Away,Blackpool,-2,2.65,4.43,✅ Excellent,loss,-1.0
2021-08-28,Luton vs Sheffield United,2021_22,Home,Luton,0,2.3922,2.84,✅ Good,loss,-1.0
2021-08-28,Middlesbrough vs Blackburn,2021_22,Draw,Draw,-7,3.2,3.26,✅ Fair,win,2.26
2021-08-28,Middlesbrough vs Blackburn,2021_22,Away,Blackburn,-7,3.2,3.53,✅ Fair,loss,-1.0
2021-08-28,QPR vs Coventry,2021_22,Home,QPR,1,2.1961,2.26,✅ Fair,win,1.26
2021-08-28,Preston vs Swansea,2021_22,Home,Preston,2,2.22,2.3,✅ Fair,win,1.3
2021-08-28,Peterboro vs West Brom,2021_22,Home,Peterboro,-8,2.8,5.04,✅ Excellent,loss,-1.0
2021-08-28,Hull vs Bournemouth,2021_22,Home,Hull,-7,2.6667,3.42,✅ Good,loss,-1.0
2021-08-28,Hull vs Bournemouth,2021_22,Draw,Draw,-7,3.2,3.3,✅ Fair,win,2.3
2021-08-28,Fulham vs Stoke,2021_22,Away,Stoke,5,3.8947,4.54,✅ Fair,loss,-1.0
2021-08-28,Barnsley vs Birmingham,2021_22,Home,Barnsley,1,2.1961,2.29,✅ Fair,loss,-1.0
2021-08-28,Cardiff vs Bristol City,2021_22,Home,Cardiff,14,1.4,1.98,✅ Excellent,loss,-1.0
2021-08-28,Huddersfield vs Reading,2021_22,Home,Huddersfield,3,1.9778,2.34,✅ Good,win,1.34
2021-08-28,Derby vs Nott'm Forest,2021_22,Home,Derby,4,2.375,2.56,✅ Fair,loss,-1.0
2021-09-10,Birmingham vs Derby,2021_22,Away,Derby,1,3.7333,4.63,✅ Good,loss,-1.0
2021-09-11,Stoke vs Huddersfield,2021_22,Away,Huddersfield,1,3.7333,5.02,✅ Good,loss,-1.0
2021-09-11,Reading vs QPR,2021_22,Home,Reading,-14,2.0,2.96,✅ Excellent,loss,-1.0
2021-09-11,Reading vs QPR,2021_22,Away,QPR,-14,2.0,2.38,✅ Good,loss,-1.0
2021-09-11,West Brom vs Millwall,2021_22,Home,West Brom,14,1.4,1.56,✅ Good,loss,-1.0
2021-09-11,Swansea vs Hull,2021_22,Draw,Draw,0,3.2973,3.38,✅ Fair,win,2.38
2021-09-11,Sheffield United vs Peterboro,2021_22,Draw,Draw,-2,3.7857,3.81,✅ Fair,loss,-1.0
2021-09-11,Sheffield United vs Peterboro,2021_22,Away,Peterboro,-2,2.65,5.5,✅ Excellent,loss,-1.0
2021-09-11,Bristol City vs Preston,2021_22,Home,Bristol City,-1,2.1034,2.33,✅ Fair,loss,-1.0
2021-09-11,Bournemouth vs Barnsley,2021_22,Away,Barnsley,1,3.7333,4.32,✅ Fair,loss,-1.0
2021-09-11,Blackpool vs Fulham,2021_22,Home,Blackpool,-14,2.0,5.87,✅ Excellent,win,4.87
2021-09-11,Coventry vs Middlesbrough,2021_22,Home,Coventry,8,2.0526,2.28,✅ Fair,win,1.28
2021-09-11,Coventry vs Middlesbrough,2021_22,Draw,Draw,8,3.0,3.21,✅ Fair,loss,-1.0
2021-09-11,Blackburn vs Luton,2021_22,Home,Blackburn,8,2.0526,2.17,✅ Fair,loss,-1.0
2021-09-11,Blackburn vs Luton,2021_22,Draw,Draw,8,3.0,3.34,✅ Fair,win,2.34
2021-09-12,Nott'm Forest vs Cardiff,2021_22,Home,Nott'm Forest,-8,2.8,2.96,✅ Fair,loss,-1.0
2021-09-12,Nott'm Forest vs Cardiff,2021_22,Away,Cardiff,-8,2.4348,2.58,✅ Fair,win,1.58
2021-09-14,Reading vs Peterboro,2021_22,Home,Reading,2,2.22,2.34,✅ Fair,win,1.34
2021-09-14,Sheffield United vs Preston,2021_22,Draw,Draw,0,3.2973,3.38,✅ Fair,win,2.38
2021-09-14,Sheffield United vs Preston,2021_22,Away,Preston,0,3.5882,4.63,✅ Good,loss,-1.0
2021-09-14,West Brom vs Derby,2021_22,Draw,Draw,9,3.8182,4.08,✅ Fair,win,3.08
2021-09-14,West Brom vs Derby,2021_22,Away,Derby,9,6.0,6.41,✅ Fair,loss,-1.0
2021-09-14,Blackpool vs Huddersfield,2021_22,Home,Blackpool,-4,2.1351,2.62,✅ Good,loss,-1.0
2021-09-14,Blackburn vs Hull,2021_22,Draw,Draw,4,3.1667,3.53,✅ Fair,loss,-1.0
2021-09-14,Blackburn vs Hull,2021_22,Away,Hull,4,3.8,5.0,✅ Good,loss,-1.0
2021-09-14,Bournemouth vs QPR,2021_22,Draw,Draw,0,3.2973,3.65,✅ Fair,loss,-1.0
2021-09-14,Bournemouth vs QPR,2021_22,Away,QPR,0,3.5882,3.95,✅ Fair,loss,-1.0
2021-09-15,Birmingham vs Fulham,2021_22,Home,Birmingham,-3,3.0714,3.95,✅ Good,loss,-1.0
2021-09-15,Bristol City vs Luton,2021_22,Home,Bristol City,2,2.22,2.5,✅ Fair,loss,-1.0
2021-09-15,Coventry vs Cardiff,2021_22,Away,Cardiff,-2,2.65,3.35,✅ Good,loss,-1.0
2021-09-15,Nott'm Forest vs Middlesbrough,2021_22,Away,Middlesbrough,-3,2.5294,2.64,✅ Fair,win,1.64
2021-09-15,Stoke vs Barnsley,2021_22,Away,Barnsley,5,3.8947,4.79,✅ Good,loss,-1.0
2021-09-15,Swansea vs Millwall,2021_22,Away,Millwall,-2,2.65,2.88,✅ Fair,loss,-1.0
2021-09-18,Peterboro vs Birmingham,2021_22,Home,Peterboro,-9,2.5,3.28,✅ Good,win,2.28
2021-09-18,Middlesbrough vs Blackpool,2021_22,Draw,Draw,6,3.0,3.43,✅ Fair,loss,-1.0
2021-09-18,Middlesbrough vs Blackpool,2021_22,Away,Blackpool,6,2.8696,4.61,✅ Excellent,win,3.61
2021-09-18,QPR vs Bristol City,2021_22,Draw,Draw,5,3.7,3.7,✅ Fair,loss,-1.0
2021-09-18,QPR vs Bristol City,2021_22,Away,Bristol City,5,3.8947,4.23,✅ Fair,win,3.23
2021-09-18,Preston vs West Brom,2021_22,Home,Preston,-6,2.8696,3.71,✅ Good,loss,-1.0
2021-09-18,Luton vs Swansea,2021_22,Away,Swansea,-2,2.65,3.62,✅ Good,loss,-1.0
2021-09-18,Millwall vs Coventry,2021_22,Home,Millwall,-4,2.1351,2.54,✅ Good,loss,-1.0
2021-09-18,Fulham vs Reading,2021_22,Draw,Draw,15,3.0,4.95,✅ Excellent,loss,-1.0
2021-09-18,Fulham vs Reading,2021_22,Away,Reading,15,6.0,8.4,✅ Good,win,7.4
2021-09-18,Cardiff vs Bournemouth,2021_22,Home,Cardiff,-4,2.1351,2.85,✅ Good,loss,-1.0
2021-09-18,Huddersfield vs Nott'm Forest,2021_22,Home,Huddersfield,10,2.0,2.08,✅ Fair,loss,-1.0
2021-09-18,Huddersfield vs Nott'm Forest,2021_22,Draw,Draw,10,3.1111,3.34,✅ Fair,loss,-1.0
2021-09-18,Barnsley vs Blackburn,2021_22,Home,Barnsley,-5,2.7333,2.83,✅ Fair,loss,-1.0
2021-09-18,Hull vs Sheffield United,2021_22,Home,Hull,-7,2.6667,3.27,✅ Good,loss,-1.0
2021-09-18,Hull vs Sheffield United,2021_22,Draw,Draw,-7,3.2,3.24,✅ Fair,loss,-1.0
2021-09-18,Derby vs Stoke,2021_22,Home,Derby,-3,3.0714,3.11,✅ Fair,win,2.11
2021-09-24,Coventry vs Peterboro,2021_22,Draw,Draw,8,3.0,3.91,✅ Good,loss,-1.0
2021-09-24,West Brom vs QPR,2021_22,Draw,Draw,5,3.7,3.93,✅ Fair,loss,-1.0
2021-09-24,West Brom vs QPR,2021_22,Away,QPR,5,3.8947,4.83,✅ Good,loss,-1.0
2021-09-25,Nott'm Forest vs Millwall,2021_22,Home,Nott'm Forest,-1,2.1034,2.52,✅ Good,loss,-1.0
2021-09-25,Swansea vs Huddersfield,2021_22,Home,Swansea,-9,2.5,2.55,✅ Fair,win,1.55
2021-09-25,Swansea vs Huddersfield,2021_22,Away,Huddersfield,-9,2.3529,2.97,✅ Good,loss,-1.0
2021-09-25,Stoke vs Hull,2021_22,Draw,Draw,7,3.5385,3.82,✅ Fair,loss,-1.0
2021-09-25,Bristol City vs Fulham,2021_22,Home,Bristol City,-5,2.7333,4.78,✅ Excellent,loss,-1.0
2021-09-25,Bristol City vs Fulham,2021_22,Draw,Draw,-5,3.4167,3.62,✅ Fair,win,2.62
2021-09-25,Sheffield United vs Derby,2021_22,Draw,Draw,1,3.6129,3.72,✅ Fair,loss,-1.0
2021-09-25,Sheffield United vs Derby,2021_22,Away,Derby,1,3.7333,5.94,✅ Excellent,loss,-1.0
2021-09-25,Blackpool vs Barnsley,2021_22,Home,Blackpool,1,2.1961,2.48,✅ Fair,win,1.48
2021-09-25,Birmingham vs Preston,2021_22,Away,Preston,-3,2.5294,3.75,✅ Excellent,loss,-1.0
2021-09-25,Reading vs Middlesbrough,2021_22,Home,Reading,-1,2.1034,2.98,✅ Excellent,win,1.98
2021-09-25,Bournemouth vs Luton,2021_22,Home,Bournemouth,11,1.6,1.64,✅ Fair,win,0.64
2021-09-25,Blackburn vs Cardiff,2021_22,Home,Blackburn,2,2.22,2.32,✅ Fair,win,1.32
2021-09-28,Middlesbrough vs Sheffield United,2021_22,Home,Middlesbrough,-8,2.8,3.0,✅ Fair,win,2.0
2021-09-28,Middlesbrough vs Sheffield United,2021_22,Away,Sheffield United,-8,2.4348,2.57,✅ Fair,loss,-1.0
2021-09-28,QPR vs Birmingham,2021_22,Away,Birmingham,-2,2.65,3.8,✅ Good,loss,-1.0
2021-09-28,Preston vs Stoke,2021_22,Home,Preston,3,1.9778,2.75,✅ Excellent,loss,-1.0
2021-09-28,Cardiff vs West Brom,2021_22,Home,Cardiff,-7,2.6667,4.17,✅ Excellent,loss,-1.0
2021-09-28,Cardiff vs West Brom,2021_22,Draw,Draw,-7,3.2,3.48,✅ Fair,loss,-1.0
2021-09-28,Hull vs Blackpool,2021_22,Draw,Draw,-7,3.2,3.2,✅ Fair,win,2.2
2021-09-28,Hull vs Blackpool,2021_22,Away,Blackpool,-7,3.2,3.35,✅ Fair,loss,-1.0
2021-09-28,Huddersfield vs Blackburn,2021_22,Home,Huddersfield,-1,2.1034,2.59,✅ Good,win,1.59
2021-09-29,Fulham vs Swansea,2021_22,Draw,Draw,6,3.0,4.67,✅ Excellent,loss,-1.0
2021-09-29,Fulham vs Swansea,2021_22,Away,Swansea,6,2.8696,7.98,✅ Excellent,loss,-1.0
2021-09-29,Luton vs Coventry,2021_22,Draw,Draw,-11,2.6667,3.16,✅ Good,loss,-1.0
2021-09-29,Luton vs Coventry,2021_22,Away,Coventry,-11,2.6667,2.74,✅ Fair,loss,-1.0
2021-09-29,Millwall vs Bristol City,2021_22,Away,Bristol City,-2,2.65,3.85,✅ Good,loss,-1.0
2021-09-29,Barnsley vs Nott'm Forest,2021_22,Away,Nott'm Forest,-2,2.65,3.2,✅ Good,win,2.2
2021-09-29,Derby vs Reading,2021_22,Home,Derby,-1,2.1034,2.31,✅ Fair,win,1.31
2021-09-29,Peterboro vs Bournemouth,2021_22,Home,Peterboro,-14,2.0,4.9,✅ Excellent,loss,-1.0
2021-10-01,Stoke vs West Brom,2021_22,Home,Stoke,-7,2.6667,3.49,✅ Good,win,2.49
2021-10-02,Coventry vs Fulham,2021_22,Home,Coventry,-7,2.6667,3.71,✅ Good,win,2.71
2021-10-02,Coventry vs Fulham,2021_22,Draw,Draw,-7,3.2,3.6,✅ Fair,loss,-1.0
2021-10-02,Luton vs Huddersfield,2021_22,Draw,Draw,0,3.2973,3.41,✅ Fair,win,2.41
2021-10-02,QPR vs Preston,2021_22,Home,QPR,-1,2.1034,2.11,✅ Fair,win,1.11
2021-10-02,Hull vs Middlesbrough,2021_22,Home,Hull,-6,2.8696,3.04,✅ Fair,win,2.04
2021-10-02,Derby vs Swansea,2021_22,Home,Derby,2,2.22,2.52,✅ Fair,loss,-1.0
2021-10-02,Peterboro vs Bristol City,2021_22,Away,Bristol City,-8,2.4348,2.83,✅ Good,win,1.83
2021-10-02,Bournemouth vs Sheffield United,2021_22,Away,Sheffield United,1,3.7333,3.84,✅ Fair,loss,-1.0
2021-10-02,Blackpool vs Blackburn,2021_22,Home,Blackpool,-6,2.8696,2.93,✅ Fair,win,1.93
2021-10-02,Barnsley vs Millwall,2021_22,Home,Barnsley,-8,2.8,2.95,✅ Fair,loss,-1.0
2021-10-02,Barnsley vs Millwall,2021_22,Away,Millwall,-8,2.4348,2.62,✅ Fair,win,1.62
2021-10-02,Cardiff vs Reading,2021_22,Away,Reading,-9,2.3529,3.68,✅ Excellent,win,2.68
2021-10-02,Birmingham vs Nott'm Forest,2021_22,Away,Nott'm Forest,-7,3.2,3.61,✅ Fair,win,2.61
2021-10-15,West Brom vs Birmingham,2021_22,Home,West Brom,13,1.5,1.65,✅ Good,win,0.65
2021-10-15,West Brom vs Birmingham,2021_22,Away,Birmingham,13,5.0,5.25,✅ Fair,loss,-1.0
2021-10-16,Reading vs Barnsley,2021_22,Home,Reading,11,1.6,2.16,✅ Excellent,win,1.16
2021-10-16,Millwall vs Luton,2021_22,Away,Luton,-2,2.65,3.12,✅ Good,win,2.12
2021-10-16,Nott'm Forest vs Blackpool,2021_22,Home,Nott'm Forest,3,1.9778,2.03,✅ Fair,win,1.03
2021-10-16,Sheffield United vs Stoke,2021_22,Home,Sheffield United,1,2.1961,2.23,✅ Fair,win,1.23
2021-10-16,Preston vs Derby,2021_22,Away,Derby,0,3.5882,3.97,✅ Fair,loss,-1.0
2021-10-16,Blackburn vs Coventry,2021_22,Home,Blackburn,0,2.3922,2.78,✅ Good,loss,-1.0
2021-10-16,Fulham vs QPR,2021_22,Draw,Draw,0,3.2973,4.2,✅ Good,loss,-1.0
2021-10-16,Fulham vs QPR,2021_22,Away,QPR,0,3.5882,4.92,✅ Good,loss,-1.0
2021-10-16,Middlesbrough vs Peterboro,2021_22,Away,Peterboro,5,3.8947,4.51,✅ Fair,loss,-1.0
2021-10-16,Bristol City vs Bournemouth,2021_22,Home,Bristol City,-6,2.8696,4.2,✅ Good,loss,-1.0
2021-10-16,Huddersfield vs Hull,2021_22,Draw,Draw,4,3.1667,3.4,✅ Fair,loss,-1.0
2021-10-16,Huddersfield vs Hull,2021_22,Away,Hull,4,3.8,3.84,✅ Fair,loss,-1.0
2021-10-17,Swansea vs Cardiff,2021_22,Home,Swansea,9,1.75,2.47,✅ Excellent,win,1.47
2021-10-19,Bristol City vs Nott'm Forest,2021_22,Home,Bristol City,-7,2.6667,2.83,✅ Fair,loss,-1.0
2021-10-19,Bristol City vs Nott'm Forest,2021_22,Draw,Draw,-7,3.2,3.21,✅ Fair,loss,-1.0
2021-10-19,Derby vs Luton,2021_22,Home,Derby,-5,2.7333,3.19,✅ Good,loss,-1.0
2021-10-19,QPR vs Blackburn,2021_22,Draw,Draw,-7,3.2,3.51,✅ Fair,loss,-1.0
2021-10-19,QPR vs Blackburn,2021_22,Away,Blackburn,-7,3.2,3.31,✅ Fair,loss,-1.0
2021-10-19,Sheffield United vs Millwall,2021_22,Away,Millwall,1,3.7333,4.63,✅ Good,win,3.63
2021-10-20,Reading vs Blackpool,2021_22,Draw,Draw,6,3.0,3.35,✅ Fair,loss,-1.0
2021-10-20,Reading vs Blackpool,2021_22,Away,Blackpool,6,2.8696,3.3,✅ Fair,win,2.3
2021-10-20,Middlesbrough vs Barnsley,2021_22,Home,Middlesbrough,7,1.7692,1.89,✅ Fair,win,0.89
2021-10-20,Preston vs Coventry,2021_22,Away,Coventry,-3,2.5294,2.68,✅ Fair,loss,-1.0
2021-10-20,Hull vs Peterboro,2021_22,Home,Hull,-1,2.1034,2.11,✅ Fair,loss,-1.0
2021-10-20,Huddersfield vs Birmingham,2021_22,Home,Huddersfield,15,2.0,2.47,✅ Good,loss,-1.0
2021-10-20,Huddersfield vs Birmingham,2021_22,Draw,Draw,15,3.0,3.18,✅ Fair,win,2.18
2021-10-20,Swansea vs West Brom,2021_22,Home,Swansea,-3,3.0714,3.79,✅ Good,win,2.79
2021-10-23,Birmingham vs Swansea,2021_22,Away,Swansea,-12,1.8333,3.09,✅ Excellent,loss,-1.0
2021-10-23,Blackburn vs Reading,2021_22,Away,Reading,-1,3.5882,4.2,✅ Fair,loss,-1.0
2021-10-23,Blackpool vs Preston,2021_22,Home,Blackpool,3,1.9778,2.85,✅ Excellent,win,1.85
2021-10-23,Bournemouth vs Huddersfield,2021_22,Draw,Draw,6,3.0,3.87,✅ Good,loss,-1.0
2021-10-23,Bournemouth vs Huddersfield,2021_22,Away,Huddersfield,6,2.8696,5.65,✅ Excellent,loss,-1.0
2021-10-23,Coventry vs Derby,2021_22,Away,Derby,-1,3.5882,4.27,✅ Good,loss,-1.0
2021-10-23,Luton vs Hull,2021_22,Home,Luton,11,1.6,1.82,✅ Good,win,0.82
2021-10-23,Millwall vs Stoke,2021_22,Home,Millwall,1,2.1961,2.58,✅ Good,win,1.58
2021-10-23,Peterboro vs QPR,2021_22,Home,Peterboro,-1,2.1034,3.52,✅ Excellent,win,2.52
2021-10-23,West Brom vs Bristol City,2021_22,Draw,Draw,6,3.0,4.26,✅ Good,loss,-1.0
2021-10-23,West Brom vs Bristol City,2021_22,Away,Bristol City,6,2.8696,7.42,✅ Excellent,loss,-1.0
2021-10-24,Nott'm Forest vs Fulham,2021_22,Home,Nott'm Forest,6,3.1429,4.03,✅ Good,loss,-1.0
2021-10-24,Nott'm Forest vs Fulham,2021_22,Draw,Draw,6,3.0,3.4,✅ Fair,loss,-1.0
2021-10-24,Barnsley vs Sheffield United,2021_22,Home,Barnsley,-7,2.6667,3.59,✅ Good,loss,-1.0
2021-10-24,Barnsley vs Sheffield United,2021_22,Draw,Draw,-7,3.2,3.45,✅ Fair,loss,-1.0
2021-10-29,QPR vs Nott'm Forest,2021_22,Home,QPR,-4,2.1351,2.18,✅ Fair,loss,-1.0
2021-10-29,QPR vs Nott'm Forest,2021_22,Away,Nott'm Forest,-4,3.2917,3.34,✅ Fair,loss,-1.0
2021-10-30,Bristol City vs Barnsley,2021_22,Home,Bristol City,2,2.22,2.34,✅ Fair,win,1.34
2021-10-30,Derby vs Blackburn,2021_22,Away,Blackburn,-3,2.5294,2.59,✅ Fair,win,1.59
2021-10-30,Huddersfield vs Millwall,2021_22,Away,Millwall,-3,2.5294,2.92,✅ Good,loss,-1.0
2021-10-30,Hull vs Coventry,2021_22,Home,Hull,-4,2.1351,2.96,✅ Good,loss,-1.0
2021-10-30,Middlesbrough vs Birmingham,2021_22,Home,Middlesbrough,10,2.0,2.15,✅ Fair,loss,-1.0
2021-10-30,Middlesbrough vs Birmingham,2021_22,Draw,Draw,10,3.1111,3.26,✅ Fair,loss,-1.0
2021-10-30,Preston vs Luton,2021_22,Away,Luton,-9,2.3529,2.96,✅ Good,loss,-1.0
2021-10-30,Sheffield United vs Blackpool,2021_22,Draw,Draw,-5,3.4167,4.0,✅ Fair,loss,-1.0
2021-10-30,Sheffield United vs Blackpool,2021_22,Away,Blackpool,-5,2.9286,5.89,✅ Excellent,win,4.89
2021-10-30,Stoke vs Cardiff,2021_22,Away,Cardiff,16,3.0,4.07,✅ Good,loss,-1.0
2021-10-30,Swansea vs Peterboro,2021_22,Draw,Draw,6,3.0,3.81,✅ Good,loss,-1.0
2021-10-30,Swansea vs Peterboro,2021_22,Away,Peterboro,6,2.8696,5.45,✅ Excellent,loss,-1.0
2021-10-30,Reading vs Bournemouth,2021_22,Home,Reading,-9,2.5,4.73,✅ Excellent,loss,-1.0
2021-11-02,Peterboro vs Huddersfield,2021_22,Home,Peterboro,-5,2.7333,3.29,✅ Good,loss,-1.0
2021-11-02,Millwall vs Reading,2021_22,Away,Reading,5,3.8947,4.21,✅ Fair,loss,-1.0
2021-11-02,Nott'm Forest vs Sheffield United,2021_22,Draw,Draw,6,3.0,3.31,✅ Fair,win,2.31
2021-11-02,Coventry vs Swansea,2021_22,Away,Swansea,-6,2.64,3.29,✅ Good,win,2.29
2021-11-02,Luton vs Middlesbrough,2021_22,Home,Luton,2,2.22,2.32,✅ Fair,win,1.32
2021-11-02,Birmingham vs Bristol City,2021_22,Away,Bristol City,2,3.7,4.21,✅ Fair,loss,-1.0
2021-11-03,Barnsley vs Derby,2021_22,Away,Derby,-8,2.4348,3.35,✅ Good,loss,-1.0
2021-11-03,Blackburn vs Fulham,2021_22,Draw,Draw,-11,2.6667,3.64,✅ Good,loss,-1.0
2021-11-03,Blackpool vs Stoke,2021_22,Draw,Draw,6,3.0,3.34,✅ Fair,loss,-1.0
2021-11-03,Bournemouth vs Preston,2021_22,Draw,Draw,9,3.8182,3.95,✅ Fair,loss,-1.0
2021-11-03,Cardiff vs QPR,2021_22,Draw,Draw,-12,3.1429,3.34,✅ Fair,loss,-1.0
